Site Name,MVL-RSC-IN
Isco Quantity,Level
Label,Level
Units,ft
Resolution, 0.1 
Significant Digits,0

2/7/2018 10:04:00 PM,0.292
2/7/2018 10:06:00 PM,0.295
2/7/2018 10:08:00 PM,0.302
2/7/2018 10:10:00 PM,0.299
2/7/2018 10:12:00 PM,0.315
2/7/2018 10:14:00 PM,0.289
2/7/2018 10:16:00 PM,0.295
2/7/2018 10:18:00 PM,0.299
2/7/2018 10:20:00 PM,0.302
2/7/2018 10:22:00 PM,0.308
2/7/2018 10:24:00 PM,0.299
2/7/2018 10:26:00 PM,0.285
2/7/2018 10:28:00 PM,0.292
2/7/2018 10:30:00 PM,0.302
2/7/2018 10:32:00 PM,0.295
2/7/2018 10:34:00 PM,0.289
2/7/2018 10:36:00 PM,0.292
2/7/2018 10:38:00 PM,0.305
2/7/2018 10:40:00 PM,0.289
2/7/2018 10:42:00 PM,0.308
2/7/2018 10:44:00 PM,0.299
2/7/2018 10:46:00 PM,0.295
2/7/2018 10:48:00 PM,0.305
2/7/2018 10:50:00 PM,0.299
2/7/2018 10:52:00 PM,0.295
2/7/2018 10:54:00 PM,0.285
