timestamp,in2.ft
2/27/2018 22:14,0.041
2/27/2018 22:16,0.041
2/27/2018 22:18,0.041
2/27/2018 22:20,0.037
2/27/2018 22:22,0.041
2/27/2018 22:24,0.037
2/27/2018 22:26,0.037
2/27/2018 22:28,0.041
2/27/2018 22:30,0.037
2/27/2018 22:32,0.037
2/27/2018 22:34,0.037
2/27/2018 22:36,0.037
2/27/2018 22:38,0.041
2/27/2018 22:40,0.041
2/27/2018 22:42,0.037
2/27/2018 22:44,0.041
2/27/2018 22:46,0.041
2/27/2018 22:48,0.037
2/27/2018 22:50,0.037
2/27/2018 22:52,0.037
2/27/2018 22:54,0.037
2/27/2018 22:56,0.037
2/27/2018 22:58,0.041
2/27/2018 23:00,0.037
2/27/2018 23:02,0.034
2/27/2018 23:04,0.034
2/27/2018 23:06,0.034
2/27/2018 23:08,0.037
2/27/2018 23:10,0.037
2/27/2018 23:12,0.037
2/27/2018 23:14,0.037
2/27/2018 23:16,0.037
2/27/2018 23:18,0.037
2/27/2018 23:20,0.037
2/27/2018 23:22,0.037
2/27/2018 23:24,0.037
2/27/2018 23:26,0.037
2/27/2018 23:28,0.041
2/27/2018 23:30,0.037
2/27/2018 23:32,0.034
2/27/2018 23:34,0.034
2/27/2018 23:36,0.034
2/27/2018 23:38,0.037
2/27/2018 23:40,0.034
2/27/2018 23:42,0.034
2/27/2018 23:44,0.034
2/27/2018 23:46,0.034
2/27/2018 23:48,0.034
2/27/2018 23:50,0.034
2/27/2018 23:52,0.034
2/27/2018 23:54,0.034
2/27/2018 23:56,0.034
2/27/2018 23:58,0.041
2/28/2018 0:00,0.034
2/28/2018 0:02,0.034
2/28/2018 0:04,0.034
2/28/2018 0:06,0.034
2/28/2018 0:08,0.037
2/28/2018 0:10,0.034
2/28/2018 0:12,0.034
2/28/2018 0:14,0.034
2/28/2018 0:16,0.034
2/28/2018 0:18,0.034
2/28/2018 0:20,0.034
2/28/2018 0:22,0.034
2/28/2018 0:24,0.034
2/28/2018 0:26,0.037
2/28/2018 0:28,0.041
2/28/2018 0:30,0.037
2/28/2018 0:32,0.031
2/28/2018 0:34,0.034
2/28/2018 0:36,0.031
2/28/2018 0:38,0.034
2/28/2018 0:40,0.034
2/28/2018 0:42,0.034
2/28/2018 0:44,0.034
2/28/2018 0:46,0.034
2/28/2018 0:48,0.034
2/28/2018 0:50,0.034
